播放列表由,#genre#
中天娱乐,http://50.7.234.10:8278/ctient/playlist.m3u8?tid=MDED1780059017800590&ct=19226&tsum=4d05ea700aa8fd436b51ce703680e674
中天综合,http://50.7.234.10:8278/ctizhonghe/playlist.m3u8?ct=19193&tid=MBBB1520797915207979&tsum=3a6f7f0c591c2ec6678d51b741f290b2
中天新聞,http://211.75.171.121:8534/http/61.67.128.137:8081/hls/78/80/ch063max.m3u8
中天亞洲台,http://50.7.234.10:8278/ctiasia_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=e54497f1f00af5ef3ebb4cc3bdcccd7b
中天綜合,http://fm1077.serv00.net/Smart.php?id=ctizhonghe
中天娱樂,http://fm1077.serv00.net/Smart.php?id=ctient
HBO,http://50.7.234.10:8278/hbohd_twn/playlist.m3u8?tid=MBBB7425808074258080&ct=19193&tsum=a0bdd395bfc4cf07d9414d5372f59ad2
HBO,http://fm1077.serv00.net/Smart.php?id=hbohd_twn
HBO,http://41.205.93.154/HBO/index.m3u8
HBO Plus SD,https://srv3.zcast.com.br/wellington7720/wellington7720/playlist.m3u8
HBO Xtreme,http://170.254.18.106/HBO_XTREME/index.m3u8
HBO亞洲,http://122.117.71.103:8556/http/220.130.87.218:8081/hls/71/813/ch041.m3u8
HBO 2 East (720p),https://fl5.moveonjoy.com/HBO_2/index.m3u8
HBO 3,http://stream.nmih.hu:7960/live.m3u8
HBO 2,http://170.254.18.106/HBO2/index.m3u8
HBO Mundi,https://live2.tensila.com/1-1-1.power-tv/hls/master.m3u8
HBO Plus,http://170.254.18.106/HBO_PLUS/index.m3u8
HBO Mundi,http://170.254.18.106/HBO_MUNDI/index.m3u8
HBO Family,http://170.254.18.106/HBO_FAMILY/index.m3u8
HBO家庭,http://50.7.234.10:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
HBO 2 DIRECTV,https://59e8e1c60a2b2.streamlock.net/509/509.stream/playlist.m3u8
HBO 2 East (720p),https://fl2.moveonjoy.com/HBO_2/index.m3u8
HBO Family,https://haoyunlai.serv00.net/Smartv-1.php?id=fyi_twn
HBO Signature,https://haoyunlai.serv00.net/Smartv-1.php?id=hbosignature_twn
HBO HD,http://fm1077.serv00.net/Smart.php?id=Hbo
明珠台HD,http://qjrhc.jydjd.top:2911/udp/224.1.100.123:11111
明珠台,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476935.m3u8
明珠台,http://php.jdshipin.com/TVOD/iptv.php?id=mzt2
明珠台,http://1b6467f415.iok.la:9931/tsfile/live/1009_1.m3u8
明珠台,http://119.32.12.17:2901/udp/224.1.100.2:11111
明珠台HD,http://119.32.12.17:2901/udp/224.1.100.123:11111
明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
华视,http://37.27.111.214:8080/live/8/hls.m3u8
華視,http://50.7.234.10:8278/ctshd_twn/playlist.m3u8?tid=m760743cf1f5e&ct=18335&tsum=9b0d2efb292253075aa4ec25cc439b81
華視,http://122.117.71.103:8503/http/220.130.87.218:8081/hls/89/80/Cts4max.m3u8
華視,http://fm1077.serv00.net/Smart.php?id=ctshd_twn
華視,http://125.229.9.67:8503/http/220.130.87.218:8081/hls/89/80/Cts4max.m3u8
华视,http://50.7.234.10:8278/ctshd_twn/playlist.m3u8?tid=MC3C3582911835829118&ct=19249&tsum=f2c0c86801d43be647206c4ddb8e9ce6
華視,http://50.7.234.10:8278/ctshd_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=7b3b84a5c2d51d342b01b432389aac57
華視,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv041
VIU TV,http://cdn5.1678520.xyz/live/?id=viu
ION Plus,https://d2olmevnzmviuu.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-drh5os33njrnt/ion_plus.m3u8
AXN,https://streamer1.nexgen.bz/AXN/index.m3u8
Sky Sports Main Event,https://ad-playlistserver.aws.syncbak.com/playlist/13613390/master.m3u8?access_token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCIsImtpZCI6IkdyYXkyMDE2MDgyOSJ9.eyJtaWQiOjEzNjEzMzkwLCJtZDUiOiI2Y2M5MzczYjIxZWIwNzQ4ZDA0YTRlYzYyMjU2YjBhMiIsImlhdCI6MTQ5NzM4MTU5NywiaXNzIjoiU3luY2JhayIsInN1YiI6IkdyYXkifQ.qJPiMCbnGjAn9wgPrGjVl3M9Xfc4CVSyoZTZ5OH-1jo&checkedby:iptvcat.com
寰宇新聞,http://122.117.71.103:8548/http/220.130.87.218:8081/hls/76/818/ch062.m3u8
寰宇新闻,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476270.m3u8
寰宇新聞台,http://fm1077.serv00.net/Smart.php?id=huanyuxinwen_twn
寰宇新聞台,http://50.7.234.10:8278/huanyuxinwen_twn/playlist.m3u8?tid=mc42afe745533&ct=11448811&tsum=2e4ba5060f39aa293606ab3341b4fcde
寰宇新聞,http://211.75.171.121:8520/http/61.67.128.137:8081/hls/76/818/ch062.m3u8
寰宇新聞,http://125.229.9.67:8548/http/220.130.87.218:8081/hls/76/818/ch062.m3u8
八大綜藝台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv039
八大精彩台,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv034
